quotient_generator,screen_id,sector_support,fourier_scalar_on_support,fourier_support_scalar,fourier_canonical_trace_defined,constructed_kernel_contains_support,constructed_kernel_intersection,sector_support_perennial_ids,constructed_kernel_intersection_perennial_ids
z4_a42_clock,signed_turn_screen_0,"{25,26}",True,1,True,False,[],a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,
z4_a42_clock,signed_turn_screen_0,"{6,26,33}",True,1,True,False,[33],a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_0,"{25,26,33}",True,1,True,False,[33],a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_1,{33},True,1,True,True,[33],a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_1,"{6,26}",False,,False,False,[],a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2,
z4_a42_clock,signed_turn_screen_1,"{25,26}",True,-1,True,False,[],a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,
z4_a42_clock,signed_turn_screen_1,"{6,26,33}",False,,False,False,[33],a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_1,"{25,26,33}",False,,False,False,[33],a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_2,{33},True,-1,True,True,[33],a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_2,"{6,26}",False,,False,False,[],a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2,
z4_a42_clock,signed_turn_screen_2,"{25,26}",True,1,True,False,[],a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,
z4_a42_clock,signed_turn_screen_2,"{6,26,33}",False,,False,False,[33],a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,signed_turn_screen_2,"{25,26,33}",False,,False,False,[33],a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
