automaton_edge_id,source_state_id,target_state_id,source_grammar_cell_id,target_grammar_cell_id,edit_kind_code,edit_position,source_symbol_id,target_symbol_id,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,new_spectral_cut_edge_flag
0,0,1,0,1,2,9,2,-1,0,1,0,0,1,0,0
1,0,5,0,5,0,8,1,2,0,1,0,0,1,0,0
2,0,19,0,19,2,7,1,-1,0,1,0,0,1,0,0
3,0,30,0,30,0,8,1,5,0,1,0,0,1,0,0
4,0,33,0,33,0,7,1,2,0,1,0,0,1,0,0
5,0,61,0,61,0,7,1,5,0,1,0,0,1,0,0
6,1,3,1,3,1,8,-1,2,0,1,0,0,1,0,0
7,1,19,1,19,0,8,1,2,0,1,0,0,1,0,0
8,1,28,1,28,0,8,1,4,0,1,0,0,1,0,0
9,1,31,1,31,2,7,1,-1,0,1,0,0,1,0,0
10,1,32,1,32,0,8,1,5,0,1,0,0,1,0,0
11,1,35,1,35,0,7,1,2,0,1,0,0,1,0,0
12,2,3,2,3,1,10,-1,5,0,1,0,0,1,0,0
13,2,4,2,4,0,9,1,2,0,1,0,0,1,0,0
14,2,7,2,7,2,9,1,-1,0,1,0,0,1,0,0
15,2,19,2,19,0,9,1,5,0,1,0,0,1,0,0
16,2,34,2,34,2,7,1,-1,0,1,0,0,1,0,0
17,3,5,3,5,0,9,1,2,0,1,0,0,1,0,0
18,3,19,3,19,2,9,1,-1,0,1,0,0,1,0,0
19,3,27,3,27,0,9,1,5,0,1,0,0,1,0,0
20,3,35,3,35,2,7,1,-1,0,1,0,0,1,0,0
21,4,5,4,5,1,10,-1,5,0,1,0,0,1,0,0
22,4,7,4,7,2,8,2,-1,0,1,0,0,1,0,0
23,4,9,4,9,1,9,-1,5,0,1,0,0,1,0,0
24,4,19,4,19,0,9,2,5,0,1,0,0,1,0,0
25,4,36,4,36,2,7,1,-1,0,1,0,0,1,0,0
26,5,19,5,19,2,8,2,-1,0,1,0,0,1,0,0
27,5,27,5,27,0,9,2,5,0,1,0,0,1,0,0
28,5,30,5,30,0,8,2,5,0,1,0,0,1,0,0
29,5,37,5,37,2,7,1,-1,0,1,0,0,1,0,0
30,6,7,6,7,2,10,1,-1,0,1,0,0,1,0,0
31,6,8,6,8,0,10,1,2,0,1,0,0,1,0,0
32,6,11,6,11,1,9,-1,5,0,1,0,0,1,0,0
33,6,19,6,19,0,10,1,5,0,1,0,0,1,0,0
34,6,38,6,38,2,7,1,-1,0,1,0,0,1,0,0
35,7,8,7,8,1,10,-1,2,0,1,0,0,1,0,0
36,7,12,7,12,0,10,2,5,0,1,0,0,1,0,0
37,7,19,7,19,1,9,-1,5,0,1,0,0,1,0,0
38,7,29,7,29,2,8,2,-1,0,1,0,0,1,0,0
39,7,31,7,31,0,8,2,5,0,1,0,0,1,0,0
40,7,36,7,36,0,7,1,2,0,1,0,0,1,0,0
41,7,39,7,39,2,7,1,-1,0,1,0,0,1,0,0
42,7,64,7,64,0,7,1,5,0,1,0,0,1,0,0
43,8,9,8,9,1,11,-1,5,0,1,0,0,1,0,0
44,8,19,8,19,0,10,2,5,0,1,0,0,1,0,0
45,8,24,8,24,1,9,-1,5,0,1,0,0,1,0,0
46,8,40,8,40,2,7,1,-1,0,1,0,0,1,0,0
47,9,19,9,19,2,10,2,-1,0,1,0,0,1,0,0
48,9,27,9,27,0,10,2,5,0,1,0,0,1,0,0
49,9,41,9,41,2,7,1,-1,0,1,0,0,1,0,0
50,10,11,10,11,1,12,-1,2,0,1,0,0,1,0,0
51,10,12,10,12,2,11,1,-1,0,1,0,0,1,0,0
52,10,13,10,13,1,11,-1,2,0,1,0,0,1,0,0
53,10,19,10,19,0,11,1,2,0,1,0,0,1,0,0
54,10,26,10,26,0,11,1,5,0,1,0,0,1,0,0
55,10,42,10,42,2,7,1,-1,0,1,0,0,1,0,0
56,11,19,11,19,2,11,1,-1,0,1,0,0,1,0,0
57,11,24,11,24,0,11,1,2,0,1,0,0,1,0,0
58,11,27,11,27,0,11,1,5,0,1,0,0,1,0,0
59,11,43,11,43,2,7,1,-1,0,1,0,0,1,0,0
60,12,19,12,19,1,11,-1,2,0,1,0,0,1,0,0
61,12,26,12,26,1,9,-1,5,0,1,0,0,1,0,0
62,12,44,12,44,2,7,1,-1,0,1,0,0,1,0,0
63,13,14,13,14,2,14,4,-1,0,1,0,0,1,0,0
64,13,16,13,16,0,13,1,3,0,1,0,0,1,0,0
65,13,18,13,18,0,13,1,4,0,1,0,0,1,0,0
66,13,19,13,19,2,12,1,-1,0,1,0,0,1,0,0
67,13,24,13,24,0,12,1,2,0,1,0,0,1,0,0
68,13,25,13,25,0,12,1,5,0,1,1,0,1,0,0
69,13,45,13,45,2,7,1,-1,0,1,0,0,1,0,0
70,14,15,14,15,0,13,1,2,0,1,0,0,1,0,0
71,14,19,14,19,0,13,1,4,0,1,0,0,1,0,0
72,14,22,14,22,2,12,1,-1,0,1,0,0,1,0,0
73,14,23,14,23,0,13,1,5,0,1,0,0,1,0,0
74,14,46,14,46,2,7,1,-1,0,1,0,0,1,0,0
75,15,19,15,19,0,13,2,4,0,1,0,0,1,0,0
76,15,22,15,22,2,13,2,-1,0,1,0,0,1,0,0
77,15,23,15,23,0,13,2,5,0,1,0,0,1,0,0
78,15,47,15,47,2,7,1,-1,0,1,0,0,1,0,0
79,16,18,16,18,0,13,3,4,0,1,0,0,1,0,0
80,16,19,16,19,2,13,3,-1,0,1,0,0,1,0,0
81,16,48,16,48,2,7,1,-1,0,1,0,0,1,0,0
82,16,91,16,91,2,3,3,-1,0,1,0,0,1,0,0
83,17,19,17,19,0,14,3,5,0,1,0,0,1,0,0
84,17,49,17,49,2,7,1,-1,0,1,0,0,1,0,0
85,17,92,17,92,2,3,3,-1,0,1,0,0,1,0,0
86,18,19,18,19,2,13,4,-1,0,1,0,0,1,0,0
87,18,21,18,21,0,14,4,5,0,1,0,0,1,0,0
88,18,50,18,50,2,7,1,-1,0,1,0,0,1,0,0
89,19,20,19,20,1,15,-1,2,0,1,0,0,1,0,0
90,19,21,19,21,1,14,-1,5,0,1,0,0,1,0,0
91,19,22,19,22,2,13,4,-1,0,1,0,0,1,0,0
92,19,23,19,23,0,13,4,5,0,1,0,0,1,0,0
93,19,24,19,24,1,11,-1,2,0,1,0,0,1,0,0
94,19,25,19,25,1,12,-1,5,0,1,1,0,1,0,0
95,19,26,19,26,0,11,2,5,0,1,0,0,1,0,0
96,19,27,19,27,1,9,-1,5,0,1,0,0,1,0,0
97,19,28,19,28,0,8,2,4,0,1,0,0,1,0,0
98,19,30,19,30,1,8,-1,5,0,1,0,0,1,0,0
99,19,31,19,31,2,8,2,-1,0,1,0,0,1,0,0
100,19,32,19,32,0,8,2,5,0,1,0,0,1,0,0
101,19,33,19,33,1,6,-1,2,0,1,0,0,1,0,0
102,19,37,19,37,0,7,1,2,0,1,0,0,1,0,0
103,19,51,19,51,2,7,1,-1,0,1,0,0,1,0,0
104,19,61,19,61,1,7,-1,5,0,1,0,0,1,0,0
105,19,65,19,65,0,7,1,5,0,1,0,0,1,0,0
106,20,21,20,21,0,15,2,5,0,1,0,0,1,0,0
107,20,52,20,52,2,7,1,-1,0,1,0,0,1,0,0
108,21,23,21,23,2,13,4,-1,0,1,0,0,1,0,0
109,21,53,21,53,2,7,1,-1,0,1,0,0,1,0,0
110,22,23,22,23,1,13,-1,5,0,1,0,0,1,0,0
111,22,54,22,54,2,7,1,-1,0,1,0,0,1,0,0
112,23,55,23,55,2,7,1,-1,0,1,0,0,1,0,0
113,24,25,24,25,0,12,2,5,0,1,1,0,1,0,0
114,24,27,24,27,0,11,2,5,0,1,0,0,1,0,0
115,24,56,24,56,2,7,1,-1,0,1,0,0,1,0,0
116,25,26,25,26,2,11,2,-1,0,1,1,0,1,0,0
117,25,57,25,57,2,7,1,-1,0,1,1,0,1,0,0
118,25,93,25,93,2,3,3,-1,0,1,1,1,0,0,0
119,26,27,26,27,1,12,-1,2,0,1,0,0,1,0,0
120,26,58,26,58,2,7,1,-1,0,1,0,0,1,0,0
121,27,32,27,32,2,8,2,-1,0,1,0,0,1,0,0
122,27,59,27,59,2,7,1,-1,0,1,0,0,1,0,0
123,28,31,28,31,2,8,4,-1,0,1,0,0,1,0,0
124,28,32,28,32,0,8,4,5,0,1,0,0,1,0,0
125,29,31,29,31,1,8,-1,5,0,1,0,0,1,0,0
126,29,34,29,34,1,6,-1,2,0,1,0,0,1,0,0
127,29,39,29,39,0,7,1,2,0,1,0,0,1,0,0
128,29,62,29,62,2,7,1,-1,0,1,0,0,1,0,0
129,29,75,29,75,0,7,1,5,0,1,0,0,1,0,0
130,30,32,30,32,2,9,2,-1,0,1,0,0,1,0,0
131,30,65,30,65,2,7,1,-1,0,1,0,0,1,0,0
132,31,32,31,32,1,8,-1,5,0,1,0,0,1,0,0
133,31,35,31,35,1,6,-1,2,0,1,0,0,1,0,0
134,31,51,31,51,0,7,1,2,0,1,0,0,1,0,0
135,31,75,31,75,2,7,1,-1,0,1,0,0,1,0,0
136,31,83,31,83,0,7,1,5,0,1,0,0,1,0,0
137,32,59,32,59,0,7,1,2,0,1,0,0,1,0,0
138,32,83,32,83,2,7,1,-1,0,1,0,0,1,0,0
139,33,35,33,35,2,9,2,-1,0,1,0,0,1,0,0
140,33,37,33,37,2,8,1,-1,0,1,0,0,1,0,0
141,33,61,33,61,0,7,2,5,0,1,0,0,1,0,0
142,34,35,34,35,1,9,-1,5,0,1,0,0,1,0,0
143,34,36,34,36,0,8,1,2,0,1,0,0,1,0,0
144,34,39,34,39,2,8,1,-1,0,1,0,0,1,0,0
145,34,51,34,51,0,8,1,5,0,1,0,0,1,0,0
146,35,37,35,37,0,8,1,2,0,1,0,0,1,0,0
147,35,51,35,51,2,8,1,-1,0,1,0,0,1,0,0
148,35,59,35,59,0,8,1,5,0,1,0,0,1,0,0
149,36,37,36,37,1,9,-1,5,0,1,0,0,1,0,0
150,36,39,36,39,2,6,2,-1,0,1,0,0,1,0,0
151,36,41,36,41,1,8,-1,5,0,1,0,0,1,0,0
152,36,51,36,51,0,8,2,5,0,1,0,0,1,0,0
153,36,64,36,64,0,7,2,5,0,1,0,0,1,0,0
154,37,51,37,51,2,6,2,-1,0,1,0,0,1,0,0
155,37,59,37,59,0,8,2,5,0,1,0,0,1,0,0
156,37,65,37,65,0,7,2,5,0,1,0,0,1,0,0
157,38,39,38,39,2,9,1,-1,0,1,0,0,1,0,0
158,38,40,38,40,0,9,1,2,0,1,0,0,1,0,0
159,38,43,38,43,1,8,-1,5,0,1,0,0,1,0,0
160,38,51,38,51,0,9,1,5,0,1,0,0,1,0,0
161,38,60,38,60,2,6,2,-1,0,1,0,0,1,0,0
162,38,67,38,67,0,7,2,5,0,1,0,0,1,0,0
163,39,40,39,40,1,9,-1,2,0,1,0,0,1,0,0
164,39,44,39,44,0,9,2,5,0,1,0,0,1,0,0
165,39,51,39,51,1,8,-1,5,0,1,0,0,1,0,0
166,39,62,39,62,2,6,2,-1,0,1,0,0,1,0,0
167,39,64,39,64,1,7,-1,5,0,1,0,0,1,0,0
168,39,75,39,75,0,7,2,5,0,1,0,0,1,0,0
169,40,41,40,41,1,10,-1,5,0,1,0,0,1,0,0
170,40,51,40,51,0,9,2,5,0,1,0,0,1,0,0
171,40,56,40,56,1,8,-1,5,0,1,0,0,1,0,0
172,40,63,40,63,2,6,2,-1,0,1,0,0,1,0,0
173,40,80,40,80,0,7,2,5,0,1,0,0,1,0,0
174,41,51,41,51,2,9,2,-1,0,1,0,0,1,0,0
175,41,59,41,59,0,9,2,5,0,1,0,0,1,0,0
176,41,64,41,64,2,6,2,-1,0,1,0,0,1,0,0
177,42,43,42,43,1,11,-1,2,0,1,0,0,1,0,0
178,42,44,42,44,2,10,1,-1,0,1,0,0,1,0,0
179,42,45,42,45,1,10,-1,2,0,1,0,0,1,0,0
180,42,51,42,51,0,10,1,2,0,1,0,0,1,0,0
181,42,58,42,58,0,10,1,5,0,1,0,0,1,0,0
182,42,66,42,66,2,6,2,-1,0,1,0,0,1,0,0
183,43,51,43,51,2,10,1,-1,0,1,0,0,1,0,0
184,43,56,43,56,0,10,1,2,0,1,0,0,1,0,0
185,43,59,43,59,0,10,1,5,0,1,0,0,1,0,0
186,43,67,43,67,2,6,2,-1,0,1,0,0,1,0,0
187,44,51,44,51,1,10,-1,2,0,1,0,0,1,0,0
188,44,58,44,58,1,8,-1,5,0,1,0,0,1,0,0
189,44,68,44,68,2,6,2,-1,0,1,0,0,1,0,0
190,44,82,44,82,0,7,2,5,0,1,0,0,1,0,0
191,45,46,45,46,2,13,4,-1,0,1,0,0,1,0,0
192,45,48,45,48,0,12,1,3,0,1,0,0,1,0,0
193,45,50,45,50,0,12,1,4,0,1,0,0,1,0,0
194,45,51,45,51,2,11,1,-1,0,1,0,0,1,0,0
195,45,56,45,56,0,11,1,2,0,1,0,0,1,0,0
196,45,57,45,57,0,11,1,5,0,1,1,0,1,0,0
197,45,69,45,69,2,6,2,-1,0,1,0,0,1,0,0
198,46,47,46,47,0,12,1,2,0,1,0,0,1,0,0
199,46,51,46,51,0,12,1,4,0,1,0,0,1,0,0
200,46,54,46,54,2,11,1,-1,0,1,0,0,1,0,0
201,46,55,46,55,0,12,1,5,0,1,0,0,1,0,0
202,46,70,46,70,2,6,2,-1,0,1,0,0,1,0,0
203,47,51,47,51,0,12,2,4,0,1,0,0,1,0,0
204,47,54,47,54,2,12,2,-1,0,1,0,0,1,0,0
205,47,55,47,55,0,12,2,5,0,1,0,0,1,0,0
206,47,71,47,71,2,6,2,-1,0,1,0,0,1,0,0
207,48,50,48,50,0,12,3,4,0,1,0,0,1,0,0
208,48,51,48,51,2,12,3,-1,0,1,0,0,1,0,0
209,48,72,48,72,2,6,2,-1,0,1,0,0,1,0,0
210,48,94,48,94,2,3,3,-1,0,1,0,0,1,0,0
211,49,51,49,51,0,13,3,5,0,1,0,0,1,0,0
212,49,73,49,73,2,6,2,-1,0,1,0,0,1,0,0
213,49,95,49,95,2,3,3,-1,0,1,0,0,1,0,0
214,50,51,50,51,2,12,4,-1,0,1,0,0,1,0,0
215,50,53,50,53,0,13,4,5,0,1,0,0,1,0,0
216,50,74,50,74,2,6,2,-1,0,1,0,0,1,0,0
217,51,52,51,52,1,14,-1,2,0,1,0,0,1,0,0
218,51,53,51,53,1,13,-1,5,0,1,0,0,1,0,0
219,51,54,51,54,2,12,4,-1,0,1,0,0,1,0,0
220,51,55,51,55,0,12,4,5,0,1,0,0,1,0,0
221,51,56,51,56,1,10,-1,2,0,1,0,0,1,0,0
222,51,57,51,57,1,11,-1,5,0,1,1,0,1,0,0
223,51,58,51,58,0,10,2,5,0,1,0,0,1,0,0
224,51,59,51,59,1,8,-1,5,0,1,0,0,1,0,0
225,51,65,51,65,1,7,-1,5,0,1,0,0,1,0,0
226,51,75,51,75,2,6,2,-1,0,1,0,0,1,0,0
227,51,83,51,83,0,7,2,5,0,1,0,0,1,0,0
228,52,53,52,53,0,14,2,5,0,1,0,0,1,0,0
229,52,76,52,76,2,6,2,-1,0,1,0,0,1,0,0
230,53,55,53,55,2,12,4,-1,0,1,0,0,1,0,0
231,53,77,53,77,2,6,2,-1,0,1,0,0,1,0,0
232,54,55,54,55,1,12,-1,5,0,1,0,0,1,0,0
233,54,78,54,78,2,6,2,-1,0,1,0,0,1,0,0
234,55,79,55,79,2,6,2,-1,0,1,0,0,1,0,0
235,56,57,56,57,0,11,2,5,0,1,1,0,1,0,0
236,56,59,56,59,0,10,2,5,0,1,0,0,1,0,0
237,56,80,56,80,2,6,2,-1,0,1,0,0,1,0,0
238,57,58,57,58,2,10,2,-1,0,1,1,0,1,0,0
239,57,81,57,81,2,6,2,-1,0,1,1,0,1,0,0
240,57,96,57,96,2,3,3,-1,0,1,1,1,0,0,0
241,58,59,58,59,1,11,-1,2,0,1,0,0,1,0,0
242,58,82,58,82,2,6,2,-1,0,1,0,0,1,0,0
243,59,83,59,83,2,6,2,-1,0,1,0,0,1,0,0
244,60,62,60,62,2,8,1,-1,0,1,0,0,1,0,0
245,60,63,60,63,0,8,1,2,0,1,0,0,1,0,0
246,60,67,60,67,1,7,-1,5,0,1,0,0,1,0,0
247,60,75,60,75,0,8,1,5,0,1,0,0,1,0,0
248,61,65,61,65,2,8,1,-1,0,1,0,0,1,0,0
249,62,63,62,63,1,8,-1,2,0,1,0,0,1,0,0
250,62,68,62,68,0,8,2,5,0,1,0,0,1,0,0
251,62,75,62,75,1,7,-1,5,0,1,0,0,1,0,0
252,63,64,63,64,1,9,-1,5,0,1,0,0,1,0,0
253,63,75,63,75,0,8,2,5,0,1,0,0,1,0,0
254,63,80,63,80,1,7,-1,5,0,1,0,0,1,0,0
255,64,65,64,65,1,9,-1,5,0,1,0,0,1,0,0
256,64,75,64,75,2,8,2,-1,0,1,0,0,1,0,0
257,64,83,64,83,0,8,2,5,0,1,0,0,1,0,0
258,65,83,65,83,2,8,2,-1,0,1,0,0,1,0,0
259,66,67,66,67,1,10,-1,2,0,1,0,0,1,0,0
260,66,68,66,68,2,9,1,-1,0,1,0,0,1,0,0
