gate_repair_cell_id,component_id,gate_edit_radius,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,clear_flag,exact24_six_all_four_flag,left_boundary_flag,right_boundary_flag
0,0,1,13,2,1,3,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,60,9,4,8,0,24,4,8,24,0,0,1,0
1,1,1,12,2,1,4,3,1,2,5,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,92,9,4,12,0,36,4,16,36,0,0,0,1
2,0,2,12,2,1,3,4,1,2,5,5,2,1,4,5,-1,-1,-1,-1,11,48,42,27,31,28,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,92,9,4,12,0,36,4,16,36,0,0,0,0
3,0,2,12,2,1,3,4,5,1,2,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,31,50,34,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,12,3,4,4,1,0,4,8,0,0,0,0,0
4,0,2,14,2,1,3,4,5,1,2,5,2,5,2,1,4,5,-1,-1,14,48,42,27,31,50,34,29,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,2,195,12,3,4,4,1,0,4,8,0,0,0,0,0
5,0,2,14,2,1,3,4,5,1,2,5,5,2,1,4,5,2,-1,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,120,6,20,20,0,0,80,40,0,0,0,0,0
6,0,2,14,2,1,3,4,5,1,2,5,5,2,5,1,4,5,-1,-1,11,48,42,27,31,50,34,29,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,195,20,1,20,20,0,0,0,20,0,0,0,0,0
7,0,2,12,2,1,3,4,5,1,2,5,5,1,4,5,-1,-1,-1,-1,11,48,42,27,31,50,34,29,45,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,197,20,5,4,4,1,0,8,12,0,0,0,0,0
8,0,2,13,2,1,3,4,5,1,1,5,5,2,1,4,5,-1,-1,-1,13,48,42,27,31,50,34,25,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,197,84,7,12,12,0,36,12,0,36,0,0,0,0
9,1,2,11,2,1,4,3,1,2,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,16,3,4,8,0,0,8,8,0,0,0,0,0
