walk_candidate_id,rank_order,walk_length,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,carrier_7_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,cell_edge_6_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_atom_6_id,selected_symbol_0_id,selected_symbol_1_id,selected_symbol_2_id,selected_symbol_3_id,selected_symbol_4_id,selected_symbol_5_id,selected_symbol_6_id,cycle_window_node_0_id,cycle_window_node_1_id,cycle_window_node_2_id,cycle_window_node_3_id,cycle_window_node_4_id,cycle_window_node_5_id,cycle_window_node_6_id,repeated_interior_carrier_count,immediate_backtrack_count,trace_node_count,trace_edge_count,trace_detour_overhead,trace_signature_total_variation,signature_valley_depth,trace_min_signature_after_node42,metric_gromov_delta_twice,metric_diameter,metric_radius,first_node44_trace_rank,node44_realization_flag,first_selected_x2_flag,immediate_x1_tail_flag,nonsimple_walk_flag,no_intermediate_origin_flag,improves_tail_overhead_flag,contains_node27_after_node42_flag,matches_baseline_tail_score_flag,best_backtrack_flag
0,1,5,12,11,8,13,11,12,-1,-1,41,31,33,42,41,-1,-1,7,4,12,19,7,-1,-1,2,1,4,5,2,-1,-1,28,34,44,39,26,-1,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
1,2,6,12,3,8,13,10,3,12,-1,14,11,33,40,12,14,-1,7,4,12,19,7,7,-1,2,1,4,5,2,2,-1,28,34,44,39,36,26,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
2,3,6,12,3,8,13,11,3,12,-1,14,11,33,42,13,14,-1,7,4,12,19,7,7,-1,2,1,4,5,2,2,-1,28,34,44,39,36,26,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
3,4,6,12,11,8,13,10,11,12,-1,41,31,33,40,38,41,-1,7,4,12,19,7,7,-1,2,1,4,5,2,2,-1,28,34,44,39,36,26,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
4,5,6,12,11,8,13,10,11,12,-1,41,31,33,40,38,41,-1,7,4,12,19,7,19,-1,2,1,4,5,2,5,-1,28,34,44,45,39,29,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
5,6,6,12,11,8,13,11,2,12,-1,41,31,33,42,8,9,-1,7,4,12,19,7,7,-1,2,1,4,5,2,2,-1,28,34,44,39,36,26,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
6,7,6,12,11,8,13,11,3,12,-1,41,31,33,42,13,14,-1,7,4,12,19,7,7,-1,2,1,4,5,2,2,-1,28,34,44,39,36,26,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
7,8,6,12,11,8,13,11,10,12,-1,41,31,33,42,38,39,-1,7,4,12,19,7,7,-1,2,1,4,5,2,2,-1,28,34,44,39,36,26,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
8,9,6,12,11,8,13,11,10,12,-1,41,31,33,42,38,39,-1,7,4,12,19,7,19,-1,2,1,4,5,2,5,-1,28,34,44,45,39,29,-1,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
9,10,7,12,3,8,13,10,2,3,12,14,11,33,40,7,6,14,7,4,12,19,7,7,7,2,1,4,5,2,2,2,28,34,44,39,36,36,26,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
10,11,7,12,3,8,13,10,2,10,12,14,11,33,40,7,7,39,7,4,12,19,7,7,7,2,1,4,5,2,2,2,28,34,44,39,36,36,26,1,1,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
11,12,7,12,3,8,13,10,2,10,12,14,11,33,40,7,7,39,7,4,12,19,7,7,19,2,1,4,5,2,2,5,28,34,44,39,39,39,29,1,1,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
12,13,7,12,3,8,13,10,3,2,12,14,11,33,40,12,6,9,7,4,12,19,7,7,7,2,1,4,5,2,2,2,28,34,44,39,36,36,26,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
13,14,7,12,3,8,13,10,3,7,12,14,11,33,40,12,10,29,7,4,12,19,7,1,11,2,1,4,5,2,0,3,28,34,44,14,12,12,27,1,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
14,15,7,12,3,8,13,10,3,8,12,14,11,33,40,12,11,32,7,4,12,19,7,4,11,2,1,4,5,2,1,3,28,34,44,29,27,27,27,2,0,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
15,16,7,12,3,8,13,10,3,10,12,14,11,33,40,12,12,39,7,4,12,19,7,7,7,2,1,4,5,2,2,2,28,34,44,39,36,36,26,2,1,6,5,3,127,37,146,1,3,2,5,1,1,1,1,1,0,1,1,1
