atom_id,outgoing_flux_scaled,incoming_flux_scaled,divergence_scaled,abs_divergence_scaled,local_conserved_flag
0,-702484146,10880659497,-11583143643,11583143643,0
1,-948914190,11521593896,-12470508086,12470508086,0
2,162505767,4331249014,-4168743247,4168743247,0
3,-218722080,0,-218722080,218722080,0
4,-286773239,3081119895,-3367893134,3367893134,0
5,266274380,1786257006,-1519982626,1519982626,0
6,-1211050,0,-1211050,1211050,0
7,-67992840,8083420397,-8151413237,8151413237,0
8,-27293211,5276924695,-5304217906,5304217906,0
9,780944260,7533411835,-6752467575,6752467575,0
10,-271309956,-5165320520,4894010564,4894010564,0
11,655999539,-1798968720,2454968259,2454968259,0
12,35427301,-8993030643,9028457944,9028457944,0
13,52674830,-784748863,837423693,837423693,0
14,-310583472,-11562284056,11251700584,11251700584,0
15,192313080,-3986262109,4178575189,4178575189,0
16,-60889057,0,-60889057,60889057,0
17,-569637132,-1795007446,1225370314,1225370314,0
18,1343717864,-10670217123,12013934987,12013934987,0
19,437948556,-7276801551,7714750107,7714750107,0
