ledger,package,layer,invariant,value,status,source
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/prior/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/prior/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/prior/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/prior/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_evidence_root/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/cadical_drat_trace_typed_c_root/prior/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/prior/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_bundles/archived_roots/external_evidence_gate_root/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/prior/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,WATCHED_LITERAL_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,BRANCHING_SCORE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_evidence/running_ledger.csv,imported,hybrid,LOCAL_SEARCH_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,hybrid,NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
data/evidence/ss_sat/source_drops/cadical_drat_trace_typed_c/prior/running_ledger.csv,imported,hybrid,ECA_PLUS_NONBOOLEAN_SOLVER_SCHEDULE_UNION + BURNING_WEIGHTED_ANALYTIC,trivial,CERTIFIED_OR_DEDUCED_FROM_FULL_SUBFAMILY,scheduler_hybrid_closure_summary.csv
