,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,-79.06063817120048,-1600.167818963306,-273.56542616073494,-273.56542616073494,-273.56542616073494,-273.56542616073494,-103.2242960675954,-103.2242960675954,-103.2242960675954,-103.2242960675954,-20.115390114490047,-20.115390114490047,-20.115390114490047,-20.115390114490047,-20.115390114490047,-20.115390114490047
B-∧B+,2424.925941573249,-9.398175195101242,-14.10346898138516,-14.10346898138516,-14.10346898138516,-14.10346898138516,-5.091635827235184,-5.091635827235184,-5.091635827235184,-5.091635827235184,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295
B-∧V-,302.63204035422024,2.1981210510099336,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B-∧V+,302.63204035422024,2.1981210510099336,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B-∧S-,302.63204035422024,2.1981210510099336,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B-∧S+,302.63204035422024,2.1981210510099336,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B+∧V-,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
B+∧V+,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
B+∧S-,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
B+∧S+,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
V-∧V+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903
V-∧S-,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903
V-∧S+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903
V+∧S-,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903
V+∧S+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903
S-∧S+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903,-0.0010564851536138903
