,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧B+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧V-,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧V+,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-∧S-,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
B-∧S+,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V-,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧V+,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B+∧S-,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
B+∧S+,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.2499999999999999,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
V-∧V+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V-∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.0
V-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.0
V+∧S-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.0
V+∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.2499999999999999,0.0
S-∧S+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
